listing_id,id,date,reviewer_id,reviewer_name,processed_comments,sentiment
9471586,236439962,2018-02-19,164153431.0,Alice,stunning accommodation pleasant magnificent view acropolis large terrace allow take full advantage akis available responsive give good address impeccable faultless,Positive
10374154,74499113,2016-05-15,42842168.0,Maria,evi really lovely toughtful friendly appartement perfect clean close center pleasant I definitely recommand accommodation go athens many thank evi really contribute wonderful discovery nice town best maria arnaud,Positive
3831850,36197776,2015-06-26,10255331.0,Stephanie,wonderful see athens prime match photo impeccable clean penny warm welcome highly recommend would thank everything penny particularly enjoy greek spoon treat sweet way start,Positive
16983505,152705717,2017-05-18,13378095.0,Emily,george fantastic wonderful everything need george communicative friendly also perfectly locate able walk major sight also plenty eat within walking distance would definitely recommend,Positive
5788192,97051724,2016-08-25,74974727.0,Alberto,nasos welcome beautiful cosy perfect spot athens reach good attraction walk give unique tipps local give ask coffee fish bbq amazing thank everything,Positive
15574505,220211733,2017-12-21,45313982.0,Sahel,unique love rooftop view fit walk story problem cute tiny elevator fifth floor one floor step enjoy simplicity unit,Positive
240960,166669685,2017-07-04,132975463.0,Lukas,great lot restaurant bar around appartement due close metro station arrival really easy awesome rooftop bar minute walk distance ioanni really kind support great list bar restaurant athens would book,Positive
28186,521618978,2019-09-01,7014021.0,Jonathan,great great great back athens definitely would book loft,Positive
8563554,111132933,2016-10-30,79214251.0,Mihriban,clean bit old locate heart everyte reach everywhere walk meet george accept leave bit late acc flight kind helpful,Positive
5759045,192273786,2017-09-10,66563670.0,Maria,comfortable flat big conditioner stylish balcony quiet belive I problem athene close center cafe nearby friendly helpful fill like home,Positive
702480,24652102,2015-01-01,18314217.0,Aurelie,everything great pygmalion helpful give nice recommendation thing eat cosy well locate many thank,Positive
13145534,301410629,2018-08-04,65931890.0,André,interesting well structured good make cool summer,Positive
7346102,557065378,2019-10-31,250521439.0,Leila,perfect good service around reasonably small still everything,Positive
5745302,141671076,2017-04-04,72751055.0,Dylan & Nicole,really great last minute change itinerary alki accommodate almost like hotel nice clean perfect minute walk metro direct train airport ton activity near restaurant market bar near still quiet feel safe neighborhood highly recommend athens,Positive
4246787,459825694004094323,2021-09-26,11068306.0,Kristi,amazing leonida good comprehensive nice care I would suggest anyone athens,Positive
1177492,16823558,2014-08-03,13672985.0,Kristi,listing completely accurate love loft good people really well equip love dvd selection afternoon hot jet lag neighbourhood quiet cute lovely restaurant bakery close really close acropolis describe rio wife lovely let right away explain everything answer question negative thing say direction give unfortunately navigate around athens easy first even map know go take cab try someone meet metro station upon arrival,Positive
6125281,224768535,2018-01-04,7095009.0,Patricia,pano probably good I ever considerate patient friendly book restaurant taxis without hesitation spend almost hour explain go eat everything go smooth beginning communication absolutely great even greek treat coffee wine welcome thank much,Positive
12265240,397588332171564055,2021-07-02,96297223.0,Stéphanie,perfect impeccable spacious well equip comfortable air conditioning close metro stop allow quick safe access monastiraki center large terrace pleasant supermarket nearby quality ratio excellent price george effie available make I feel welcome I warmly recommend,Positive
3402831,56533101,2015-12-14,30902175.0,Dafna,wonderful wonderful greg kind friendly available every inquiry feel warm neighbourhood great minuet walk metro important athens get traffic jam taxi long option highly recommend,Positive
11389273,275550032,2018-06-11,100456926.0,Gayathri,enough word thank maria extraordinary gem person beutiful personality everything maintenance thoughtful touch fresh clean towel toileterie whatnot perfect maria also basket fresh fruit bread butter selection spread ready totally mindblowe right opposite acropolis museum view acropolis hill sight behold pedestrian fill eat joint spoil choice vegetarian non vegetarian temple zeus hadrian arch plaka syntagma monastiraki within walking distance although one happen neighbourhood athens oasis tranquility shutter completely shut noise maria thank bottom heart help particular safekeepe sim card love every moment strongly recommend property everyone plan athens one need second thought book maria hospitality eagerly look forward come back another awesome edit day leave edit,Positive
6441787,69774665,2016-04-13,59549496.0,Viktoriia,konstantino elisabeth hospitable fully correspond photo description really like minute walk metro supermarket minute,Positive
5788192,60063856,2016-01-18,1928821.0,Jihan,first athens naso make feel incredibly welcome much clear meet midnight bus stop airport give tour proceed give tip go see everything lay thoughtfully suit weekend week long I highly recommend naso remain contact throughout weekend give additional tip answer question wonderful would definitely,Positive
9893034,320537580,2018-09-09,11331478.0,Sovannarita,great clean well furnish alex great ready answer question I really recommend,Positive
8680956,87811481,2016-07-21,74746038.0,Garnier,great great appartement à perfect emplacement near center cultural spot aggelos helpfull good adress tip,Positive
5943899,483089373,2019-07-07,105334278.0,Catherine,top excellent well appoint impeccable service super comfortable efficient air conditioning washing machine dishwasher balcony breathtaking view private roof top barbecue terrace face acropolis even greek friend soufflé athens hot stone little stifle sometimes view terrace really part allow breathe admire incredible wise recommend athenian friend taxi acropolis center quality super market close handover giannis super efficient fluid fast communication really I recommend,Positive
6943984,49829215,2015-10-06,44291643.0,Elise,spend nikolas really nice wait plane late understanding flat describe simple confortable close centre foot lively good discover athens,Positive
1425827,45972697,2015-09-07,2080626.0,CheeSeng,central truly fantastic noisy despite many restaurant downstairs lovely view balcony angela arrange pickup key dropoff taxi driver informative friendly helpful,Positive
571876,330798428,2018-10-01,46147340.0,Robert,anna absolute good ever considerate helpful constantly concerned good I say enough great clean well equip many extra touch fantastic highly recommend,Positive
12621601,175900309,2017-07-30,48186634.0,John,great quiet easy access shop restaurant historical landmark within couple turn outside view acropolis min walk lot great restaurant cafe manon shopping mall within min walk distance,Positive
1207614,159240214,2017-06-10,15921542.0,Mara,kalliopis nice pleasantly quiet pleasant nice cat happy come back,Positive
9113325,513314729,2019-08-19,13151647.0,Susie,alex home lovely everything need alex polite engage communication suggest go base question athens kea would definitely,Positive
1746907,288534573,2018-07-10,41244127.0,Guirec,studio without kitchenette well locate athens regular resident rental management,Positive
15653764,189929731,2017-09-03,61838119.0,Anna-Lucia,tina parent apt nice helpful arrive late perfectly make coffee lunch apt perfect take min foot syntagmasquare upperfloor stair huge balcony great view whole also I really like look directly acropolis,Positive
2820880,169625791,2017-07-13,63620727.0,Lisa,central perfect good value short walk everything public transport nd c july heat unusable would fine,Positive
1164882,129646687,2017-02-01,24664569.0,Elvi,lovely appartement close subway walk distance nice neighbourhood great option many,Positive
1369908,180327034,2017-08-10,67991780.0,Ashley,great easy walk take metro anywhere want go athens everything need great communication would definitely recommend,Positive
1259830,33547528,2015-05-29,10546545.0,Gabriella,argyo theo wonderful mother athens feel safe welcome really enjoy I back see soon,Positive
3005425,146300919,2017-04-22,54907868.0,Yuan,good highly recommend,Positive
306234,165194845,2017-06-30,84404992.0,Gabriela,husband I get one word aris apartament amazing certainly try book athens well star hotel,Positive
9206258,126231303,2017-01-10,62431809.0,Dimitris,liberty amazing punctual helpful always reach ready give information might need locate heart centre quiet neighbourhood hope chance book soon,Positive
16552438,367109557,2019-01-04,80759806.0,Emi,athens central everything walk distance attraction block walk national archealogical musuem also stop citeseeing bus transportation view beautiful scenic everything need item comfortable perfect long day walk around vivian husband good date able assist challenge extremely patient accidentally lock whoop come back athen hope,Positive
10876187,280019445,2018-06-22,10776543.0,Richard,great great meet roula meet father great seem like empty get replace oh well grocery shopping anyway balcony surreal view astounding definitely would would definitely recommend,Positive
16697507,225030471,2018-01-05,90946286.0,Kostas,far good choice could make beautiful even well picture right heart athens also perfectly clean every item could need moreover get great help costas regard sightseeing everything propose amazing would definitely choose similar,Positive
1079291,13612818,2014-06-01,8062380.0,Katie,perfect explore athens great value great able walk everywhere acropolis agora national park nice neighborhood lot bar restaurant go falafella amaze everything need comfortable firm bad back might good great evgenia quick respond question,Positive
15052504,196862814,2017-09-24,147019859.0,Ines,fey little flat nice athens close monastiraki easy go pireus port train flat clean everything comfort,Positive
4189994,143023832,2017-04-10,3315885.0,Nelun,sweetest enchanting athens nikolai alex helpful lovely would love come back,Positive
4333936,34926805,2015-06-13,9023412.0,Alexandra,maria great give warm welcome even book short notice home lovely wonderful restore great vibe even see acropoli romantic atrium perfect heart athens step delicious restaurant honestly fairy tale journey athens gorgeous highly recommend,Positive
1177492,508741373,2019-08-13,23728145.0,Mara,everything alright precise confortable studio quite close turistic attraction suggest,Positive
11903795,340563105,2018-10-24,28445867.0,Niall,great see sight athens walk distance clean quick communicate well recommend,Positive
